name,netid,department,fingerprints,projects,research,citations,h_index,similar,picture,URL,classes
Anirudha Majumdar,am43,MAE,"[['Motion planning', '100%'], ['Robots', '90%'], ['Convex optimization', '82%'], ['Controllers', '79%'], ['Sum of squares', '77%'], ['Robotics', '77%'], ['Robot', '66%'], ['Optimization', '66%']]","[['NSF CAREER: Generalization and Safety Guarantees for Learning-Based Control of Robots', 'https://collaborate.princeton.edu/en/projects/nsf-career-generalization-and-safety-guarantees-for-learning-base'], ['Structured Deep Learning for Modeling and Controlling High-Dimensional Dynamical Systems', 'https://collaborate.princeton.edu/en/projects/structured-deep-learning-for-modeling-and-controlling-high-dimens'], ['CRII: RI: Memory-efficient Representations for Robot Tasks: Lower Bounds and Scalable Algorithms', 'https://collaborate.princeton.edu/en/projects/crii-ri-memory-efficient-representations-for-robot-tasks-lower-bo']]","[['PAC-Bayes control: learning policies that provably generalize to novel environments', 'https://collaborate.princeton.edu/en/publications/pac-bayes-control-learning-policies-that-provably-generalize-to-n'], ['A Framework for Time-Consistent, Risk-Sensitive Model Predictive Control: Theory and Algorithms', 'https://collaborate.princeton.edu/en/publications/a-framework-for-time-consistent-risk-sensitive-model-predictive-c'], ['DSOS and SDSOS optimization: More tractable alternatives to sum of squares and semidefinite optimization', 'https://collaborate.princeton.edu/en/publications/dsos-and-sdsos-optimization-more-tractable-alternatives-to-sum-of']]",490,10,"[['Amir Ali Ahmadi', 'https://collaborate.princeton.edu/en/persons/amir-ali-ahmadi'], ['Ryan P. Adams', 'https://collaborate.princeton.edu/en/persons/ryan-p-adams'], ['Elie R. Bou-Zeid', 'https://collaborate.princeton.edu/en/persons/elie-r-bou-zeid'], ['Jianqing Fan', 'https://collaborate.princeton.edu/en/persons/jianqing-fan'], ['Elad Hazan', 'https://collaborate.princeton.edu/en/persons/elad-hazan'], ['Kelsey Bridget Hatzell', 'https://collaborate.princeton.edu/en/persons/kelsey-bridget-hatzell']]",https://collaborate.princeton.edu//files-asset/48146745/ani_revised.png?w=160&amp;f=jpg,https://collaborate.princeton.edu/en/persons/anirudha-majumdar,"['MAE 345', 'MAE 206', 'MAE 549']"
Sharad Malik,sharad,ECE,"[['Networks (circuits)', '100%'], ['Computer hardware', '76%'], ['Data storage equipment', '66%'], ['Combinatorial circuits', '62%'], ['Model checking', '60%'], ['Hardware', '58%'], ['Embedded software', '58%'], ['Logic circuits', '52%']]","[['XPS: FULL: Hardware Software Abstractions: Addressing Specification and Verification Gaps in Accelerator-Oriented Parallelism', 'https://collaborate.princeton.edu/en/projects/xps-full-hardware-software-abstractions-addressing-specification-']]","[['MemFlow: Memory-Driven Data Scheduling with Datapath Co-Design in Accelerators for Large-Scale Inference Applications', 'https://collaborate.princeton.edu/en/publications/memflow-memory-driven-data-scheduling-with-datapath-co-design-in--2']]",11928,50,"[['Aarti Gupta', 'https://collaborate.princeton.edu/en/persons/aarti-gupta'], ['David I. August', 'https://collaborate.princeton.edu/en/persons/david-i-august'], ['Margaret Rose Martonosi', 'https://collaborate.princeton.edu/en/persons/margaret-rose-martonosi'], ['Jennifer L. Rexford', 'https://collaborate.princeton.edu/en/persons/jennifer-l-rexford'], ['David P. Walker', 'https://collaborate.princeton.edu/en/persons/david-p-walker'], ['Christopher Greg Brinton', 'https://collaborate.princeton.edu/en/persons/christopher-greg-brinton']]",https://collaborate.princeton.edu//files-asset/48146757/Malik.jpg,https://collaborate.princeton.edu/en/persons/sharad-malik,['ECE 206']
Ricardo Mallarino,rm37,MOL,"[['Butterflies', '100%'], ['Beak', '81%'], ['Dasyproctidae', '63%'], ['Finches', '62%'], ['butterfly', '62%'], ['Lepidoptera', '58%'], ['Refugium', '56%'], ['Developmental Biology', '53%']]","[['How to build a gliding mammal: Using natural phenotypic variation to define the molecular regulation of tissue morphogenesis', 'https://collaborate.princeton.edu/en/projects/how-to-build-a-gliding-mammal-using-natural-phenotypic-variation-'], ['Molecular mechanisms underlying spatial patterning of mammalian skin', 'https://collaborate.princeton.edu/en/projects/molecular-mechanisms-underlying-spatial-patterning-of-mammalian-s'], ['Using naturally evolved phenotypic variation to decipher the positional regulatory code of mammalian skin', 'https://collaborate.princeton.edu/en/projects/using-naturally-evolved-phenotypic-variation-to-decipher-the-posi']]","[['Coloration in Mammals', 'https://collaborate.princeton.edu/en/publications/coloration-in-mammals'], ['Linking a mutation to survival in wild mice', 'https://collaborate.princeton.edu/en/publications/linking-a-mutation-to-survival-in-wild-mice'], ['Periodic patterns in Rodentia: Development and evolution', 'https://collaborate.princeton.edu/en/publications/periodic-patterns-in-rodentia-development-and-evolution'], ['African striped mice', 'https://collaborate.princeton.edu/en/publications/african-striped-mice'], ['Setting the bar', 'https://collaborate.princeton.edu/en/publications/setting-the-bar']]",729,13,"[['Sarah D. Kocher', 'https://collaborate.princeton.edu/en/persons/sarah-d-kocher'], ['Jared E. Toettcher', 'https://collaborate.princeton.edu/en/persons/jared-e-toettcher'], ['Jodi Schottenfeld-Roames', 'https://collaborate.princeton.edu/en/persons/jodi-schottenfeld-roames'], ['Tom Muir', 'https://collaborate.princeton.edu/en/persons/tom-muir'], ['Ileana M. Cristea', 'https://collaborate.princeton.edu/en/persons/ileana-m-cristea'], ['Bridgett Marie vonHoldt', 'https://collaborate.princeton.edu/en/persons/bridgett-marie-vonholdt']]",https://collaborate.princeton.edu//files-asset/48146769/Mallarino.jpg,https://collaborate.princeton.edu/en/persons/ricardo-mallarino,[]
Adam C. Maloof,maloof,GEO,"[['carbonate', '100%'], ['glaciation', '73%'], ['carbon isotope', '68%'], ['carbonates', '67%'], ['Ediacaran', '46%'], ['sea level', '43%'], ['stratigraphy', '40%'], ['Bahamas', '39%']]","[['Collaborative Research:  Toward a Global Timeline of Biological and Ocean Geochemical Change During the Early Cambrian', 'https://collaborate.princeton.edu/en/projects/collaborative-research-toward-a-global-timeline-of-biological-and'], ['Collaborative Research: Quantifying Rate of Neoproterozoic Global Change, Ethiopia', 'https://collaborate.princeton.edu/en/projects/collaborative-research-quantifying-rate-of-neoproterozoic-global-'], ['Collaborative Research: Estimating the Tempo of the Cambrian Explosion', 'https://collaborate.princeton.edu/en/projects/collaborative-research-estimating-the-tempo-of-the-cambrian-explo'], ['Development of an Integrated Serial Grinder and Photo-Imager for 3D Fossil Reconstruction', 'https://collaborate.princeton.edu/en/projects/development-of-an-integrated-serial-grinder-and-photo-imager-for-'], ['Testing Models for the Origin of the Deepest Carbon-Isotope Anomaly in Earth History? The Wonoka Formation of South Australia', 'https://collaborate.princeton.edu/en/projects/testing-models-for-the-origin-of-the-deepest-carbon-isotope-anoma']]","[['Chancelloriid sclerites from the Dyeran–Delamaran (‘Lower–Middle’ Cambrian) boundary interval of the Pioche–Caliente region, Nevada, USA', 'https://collaborate.princeton.edu/en/publications/chancelloriid-sclerites-from-the-dyerandelamaran-lowermiddle-camb'], ['Climate-Driven Variability in Runoff Erosion Encoded in Stream Network Geometry', 'https://collaborate.princeton.edu/en/publications/climate-driven-variability-in-runoff-erosion-encoded-in-stream-ne'], ['How is sea level change encoded in carbonate stratigraphy?', 'https://collaborate.princeton.edu/en/publications/how-is-sea-level-change-encoded-in-carbonate-stratigraphy'], ['The Ca and Mg isotope record of the Cryogenian Trezona carbon isotope excursion', 'https://collaborate.princeton.edu/en/publications/the-ca-and-mg-isotope-record-of-the-cryogenian-trezona-carbon-iso'], ['Three-Dimensional Morphometry of Ooids in Oolites: A New Tool for More Accurate and Precise Paleoenvironmental Interpretation', 'https://collaborate.princeton.edu/en/publications/three-dimensional-morphometry-of-ooids-in-oolites-a-new-tool-for-']]",4610,29,"[['John Andrew Higgins', 'https://collaborate.princeton.edu/en/persons/john-andrew-higgins'], ['Blair Schoene', 'https://collaborate.princeton.edu/en/persons/blair-schoene'], ['Frederik Jozef Simons', 'https://collaborate.princeton.edu/en/persons/frederik-jozef-simons'], ['Michael Oppenheimer', 'https://collaborate.princeton.edu/en/persons/michael-oppenheimer'], ['Nan Yao', 'https://collaborate.princeton.edu/en/persons/nan-yao'], ['Michael V. Romalis', 'https://collaborate.princeton.edu/en/persons/michael-v-romalis']]",https://collaborate.princeton.edu//files-asset/48146781/Maloof.jpg,https://collaborate.princeton.edu/en/persons/adam-c-maloof,"['GEO 505', 'FRS 161']"
Syukuro Manabe,manabe,AOS,"[['atmosphere', '100%'], ['climate', '88%'], ['ocean', '81%'], ['thermohaline circulation', '68%'], ['general circulation model', '63%'], ['surface temperature', '57%'], ['climate modeling', '54%'], ['climate models', '46%']]",[],"[['Role of greenhouse gas in climate change**', 'https://collaborate.princeton.edu/en/publications/role-of-greenhouse-gas-in-climate-change'], ['Assessing temperature pattern projections made in 1989', 'https://collaborate.princeton.edu/en/publications/assessing-temperature-pattern-projections-made-in-1989'], ['Assessment of radiative feedback in climate models using satellite observations of annual flux variation', 'https://collaborate.princeton.edu/en/publications/assessment-of-radiative-feedback-in-climate-models-using-satellit'], ['On the warming in the tropical upper troposphere: Models versus observations', 'https://collaborate.princeton.edu/en/publications/on-the-warming-in-the-tropical-upper-troposphere-models-versus-ob'], ['Seasonal variation of surface temperature change during the last several decades', 'https://collaborate.princeton.edu/en/publications/seasonal-variation-of-surface-temperature-change-during-the-last-']]",12168,54,"[['Venkatachalam Ramaswamy', 'https://collaborate.princeton.edu/en/persons/venkatachalam-ramaswamy'], ['Simon Asher Levin', 'https://collaborate.princeton.edu/en/persons/simon-asher-levin'], ['Laure Resplandy', 'https://collaborate.princeton.edu/en/persons/laure-resplandy'], ['Denise Leonore Mauzerall', 'https://collaborate.princeton.edu/en/persons/denise-leonore-mauzerall'], ['Stephan Andreas Fueglistaler', 'https://collaborate.princeton.edu/en/persons/stephan-andreas-fueglistaler'], ['Stephen Wilson Pacala', 'https://collaborate.princeton.edu/en/persons/stephen-wilson-pacala']]",https://collaborate.princeton.edu//files-asset/64156131/Manabe.jpg,https://collaborate.princeton.edu/en/persons/syukuro-manabe,[]
Christos Maravelias,cm49,CBE,"[['Scheduling', '100%'], ['Integer programming', '53%'], ['Biomass', '47%'], ['Fuel', '32%'], ['Biofuels', '28%'], ['Lignocellulosic biomass', '26%'], ['Planning', '25%'], ['Economics', '22%']]","[['Collaborative Proposal: Feedback Control Theory, Computation, and Design for Scheduling and Blending', 'https://collaborate.princeton.edu/en/projects/collaborative-proposal-feedback-control-theory-computation-and-de']]","[['Advanced fuels from ethanol-a superstructure optimization approach', 'https://collaborate.princeton.edu/en/publications/advanced-fuels-from-ethanol-a-superstructure-optimization-approac'], ['A general framework and optimization models for the scheduling of continuous chemical processes', 'https://collaborate.princeton.edu/en/publications/a-general-framework-and-optimization-models-for-the-scheduling-of'], ['A generalized distillation network synthesis model', 'https://collaborate.princeton.edu/en/publications/a-generalized-distillation-network-synthesis-model'], ['Predictive maintenance scheduling optimization of building heating, ventilation, and air conditioning systems', 'https://collaborate.princeton.edu/en/publications/predictive-maintenance-scheduling-optimization-of-building-heatin'], ['Process Systems Engineering Perspective on the Design of Materials and Molecules', 'https://collaborate.princeton.edu/en/publications/process-systems-engineering-perspective-on-the-design-of-material']]",6721,43,"[['Pierre-Thomas Brun', 'https://collaborate.princeton.edu/en/persons/pierre-thomas-brun'], ['Jared E. Toettcher', 'https://collaborate.princeton.edu/en/persons/jared-e-toettcher'], ['Brian Anthony Pethica', 'https://collaborate.princeton.edu/en/persons/brian-anthony-pethica'], ['Ian Charles Bourg', 'https://collaborate.princeton.edu/en/persons/ian-charles-bourg'], ['Stanislav Yefimovic Shvartsman', 'https://collaborate.princeton.edu/en/persons/stanislav-yefimovic-shvartsman'], ['Bruce E. Koel', 'https://collaborate.princeton.edu/en/persons/bruce-e-koel']]",N/a,https://collaborate.princeton.edu/en/persons/christos-maravelias,"['CBE 507', 'CBE 442', 'ENE 410']"
Joy S. Marcus,joysm,ECE,[],[],[],N/a,N/a,"[['Christopher Greg Brinton', 'https://collaborate.princeton.edu/en/persons/christopher-greg-brinton'], ['Alan Kaplan', 'https://collaborate.princeton.edu/en/persons/alan-kaplan'], ['Matt Weinberg', 'https://collaborate.princeton.edu/en/persons/matt-weinberg'], ['Ryan P. Adams', 'https://collaborate.princeton.edu/en/persons/ryan-p-adams'], ['Andrew Wilson Appel', 'https://collaborate.princeton.edu/en/persons/andrew-wilson-appel']]",https://collaborate.princeton.edu//files-asset/48852548/jm.png?w=160&amp;f=jpg,https://collaborate.princeton.edu/en/persons/joy-s-marcus,[]
Daniel Robert Marlow,marlow,PHY,"[['collisions', '100%'], ['protons', '52%'], ['quarks', '40%'], ['decay', '40%'], ['leptons', '36%'], ['luminosity', '35%'], ['bosons', '34%'], ['Higgs bosons', '30%']]","[['PARENT: U.S. CMS Operations at the LHC', 'https://collaborate.princeton.edu/en/projects/parent-us-cms-operations-at-the-lhc'], ['High Energy Physics', 'https://collaborate.princeton.edu/en/projects/high-energy-physics'], ['ARRA:  Exploring New Physics Beyond the Standard Model', 'https://collaborate.princeton.edu/en/projects/arra-exploring-new-physics-beyond-the-standard-model'], ['Ringside Seats for US CMS Graduate Students During the Startup of the LHC', 'https://collaborate.princeton.edu/en/projects/ringside-seats-for-us-cms-graduate-students-during-the-startup-of']]","[['Angular analysis of the decay B<sup>+</sup> → K<sup>∗</sup>(892)<sup>+</sup> μ <sup>+</sup> μ <sup> −</sup> in proton-proton collisions at √s = 8 TeV', 'https://collaborate.princeton.edu/en/publications/angular-analysis-of-the-decay-bsupsup-ksupsup892supsup-%CE%BC-supsup-%CE%BC'], ['Correlations of azimuthal anisotropy Fourier harmonics with subevent cumulants in pPb collisions at sNN =8.16 TeV', 'https://collaborate.princeton.edu/en/publications/correlations-of-azimuthal-anisotropy-fourier-harmonics-with-subev'], ['Development and validation of HERWIG\xa07 tunes from CMS underlying-event measurements', 'https://collaborate.princeton.edu/en/publications/development-and-validation-of-herwig7-tunes-from-cms-underlying-e'], ['Erratum to: Measurement of single-diffractive dijet production in proton–proton collisions at s = 8 Te with the CMS and TOTEM experiments (The European Physical Journal C, (2020), 80, 12, (1164), 10.1140/epjc/s10052-020-08562-y)', 'https://collaborate.princeton.edu/en/publications/erratum-to-measurement-of-single-diffractive-dijet-production-in-'], ['Erratum to: Search for dark matter produced in association with a leptonically decaying Z boson in proton–proton collisions at s = 13 Te (The European Physical Journal C, (2021), 81, 1, (13), 10.1140/epjc/s10052-020-08739-5)', 'https://collaborate.princeton.edu/en/publications/erratum-to-search-for-dark-matter-produced-in-association-with-a-']]",71301,111,"[['James D. Olsen', 'https://collaborate.princeton.edu/en/persons/james-d-olsen'], ['Christopher George Tully', 'https://collaborate.princeton.edu/en/persons/christopher-george-tully'], ['Isobel Rose Ojalvo', 'https://collaborate.princeton.edu/en/persons/isobel-rose-ojalvo'], ['Curtis Gove Callan', 'https://collaborate.princeton.edu/en/persons/curtis-gove-callan'], ['Mariangela Lisanti', 'https://collaborate.princeton.edu/en/persons/mariangela-lisanti'], ['Peter Daniel Meyers', 'https://collaborate.princeton.edu/en/persons/peter-daniel-meyers']]",https://collaborate.princeton.edu//files-asset/48146805/Marlow.jpg,https://collaborate.princeton.edu/en/persons/daniel-robert-marlow,[]
Luigi Martinelli,martinel,MAE,"[['Aerodynamics', '100%'], ['Viscous flow', '83%'], ['Shape optimization', '81%'], ['Navier Stokes equations', '74%'], ['Compressible flow', '61%'], ['Airfoils', '61%'], ['aerodynamics', '59%'], ['Kinetic theory of gases', '59%']]","[['FAA Joint University Program for Air Transportation Proposal for Activities by Princeton University - 2015-16', 'https://collaborate.princeton.edu/en/projects/faa-joint-university-program-for-air-transportation-proposal-for-'], ['Collaborative Research: A Multi-Scale Approach for Optimizing Tidal Kinetic Energy Extraction for Sustainable Power Generation', 'https://collaborate.princeton.edu/en/projects/collaborative-research-a-multi-scale-approach-for-optimizing-tida'], ['FAA Joint University Program for Air Transportation--Proposal for Activities by Princeton University', 'https://collaborate.princeton.edu/en/projects/faa-joint-university-program-for-air-transportation-proposal-for--2']]","[['On the development, verification, and validation of a discontinuous Galerkin solver for the Navier–Stokes equations', 'https://collaborate.princeton.edu/en/publications/on-the-development-verification-and-validation-of-a-discontinuous'], ['The effect of blade geometry on the structure of vertical axis wind turbine wakes', 'https://collaborate.princeton.edu/en/publications/the-effect-of-blade-geometry-on-the-structure-of-vertical-axis-wi'], ['Increasing the Power Production of Vertical-Axis Wind-Turbine Farms Using Synergistic Clustering', 'https://collaborate.princeton.edu/en/publications/increasing-the-power-production-of-vertical-axis-wind-turbine-far']]",1725,18,"[['Clarence W. Rowley', 'https://collaborate.princeton.edu/en/persons/clarence-w-rowley'], ['Elie R. Bou-Zeid', 'https://collaborate.princeton.edu/en/persons/elie-r-bou-zeid'], ['Edgar Yazid Choueiri', 'https://collaborate.princeton.edu/en/persons/edgar-yazid-choueiri'], ['Stanislav Yefimovic Shvartsman', 'https://collaborate.princeton.edu/en/persons/stanislav-yefimovic-shvartsman'], ['Chung King Law', 'https://collaborate.princeton.edu/en/persons/chung-king-law'], ['Naomi Ehrich Leonard', 'https://collaborate.princeton.edu/en/persons/naomi-ehrich-leonard']]",https://collaborate.princeton.edu//files-asset/48146817/Martinelli.jpg,https://collaborate.princeton.edu/en/persons/luigi-martinelli,"['MAE 339', 'MAE 340D', 'MAE 332', 'MAE 440', 'MAE 444', 'MAE 439', 'MAE 340', 'MAE 339D', 'MAE 551', 'MAE 442']"
Jenny Sarahi Martinez,jm8941,CHM,[],[],[],N/a,N/a,"[['Tom Muir', 'https://collaborate.princeton.edu/en/persons/tom-muir'], ['Paul Joseph Reider', 'https://collaborate.princeton.edu/en/persons/paul-joseph-reider'], ['Sonja Angelique Francis', 'https://collaborate.princeton.edu/en/persons/sonja-angelique-francis'], ['Mohammad R. Seyedsayamdost', 'https://collaborate.princeton.edu/en/persons/mohammad-r-seyedsayamdost'], ['Robert Randolph Knowles', 'https://collaborate.princeton.edu/en/persons/robert-randolph-knowles'], ['Bruce E. Koel', 'https://collaborate.princeton.edu/en/persons/bruce-e-koel']]",N/a,https://collaborate.princeton.edu/en/persons/jenny-sarahi-martinez,[]
Margaret Rose Martonosi,mrm,ECE,"[['Data storage equipment', '100%'], ['Computer hardware', '92%'], ['Quantum computers', '60%'], ['Voltage scaling', '49%'], ['Qubits', '38%'], ['Microprocessor chips', '35%'], ['Hardware', '32%'], ['Clocks', '30%']]","[['SHF:Medium:Collaborative Research: Decentralized On-Chip Infrastructure for Robustness and Portability in Heterogeneous Multicores', 'https://collaborate.princeton.edu/en/projects/shfmediumcollaborative-research-decentralized-on-chip-infrastruct'], ['CPS: Small: Collaborative Research: Towards Secure, Privacy-Preserving, Verifiable Cyberphysical Systems', 'https://collaborate.princeton.edu/en/projects/cps-small-collaborative-research-towards-secure-privacy-preservin'], ['SHF: Small: DeSCPar: Decoupled Supply-Compute Communication Management for Heterogeneous, Accelerator-Oriented Parallelism', 'https://collaborate.princeton.edu/en/projects/shf-small-descpar-decoupled-supply-compute-communication-manageme'], ['XPS: EXPL: CCA: Verification and Optimization Tools for Heterogeneous Memory Consistency Models', 'https://collaborate.princeton.edu/en/projects/xps-expl-cca-verification-and-optimization-tools-for-heterogeneou'], ['CPS: Medium: Collaborative Research:  Efficient Mapping and Management of Applications onto Cyber-Physical Systems', 'https://collaborate.princeton.edu/en/projects/cps-medium-collaborative-research-efficient-mapping-and-managemen']]","[['An updated LLVM-based quantum research compiler with further OpenQASM support', 'https://collaborate.princeton.edu/en/publications/an-updated-llvm-based-quantum-research-compiler-with-further-open'], ['Architecting Noisy Intermediate-Scale Quantum Computers: A Real-System Study', 'https://collaborate.princeton.edu/en/publications/architecting-noisy-intermediate-scale-quantum-computers-a-real-sy']]",13804,55,"[['Sharad Malik', 'https://collaborate.princeton.edu/en/persons/sharad-malik'], ['Ruby Bei-Loh Lee', 'https://collaborate.princeton.edu/en/persons/ruby-bei-loh-lee'], ['David Wentzlaff', 'https://collaborate.princeton.edu/en/persons/david-wentzlaff'], ['Stephen Aplin Lyon', 'https://collaborate.princeton.edu/en/persons/stephen-aplin-lyon'], ['Aarti Gupta', 'https://collaborate.princeton.edu/en/persons/aarti-gupta'], ['Daniel Ian Rubenstein', 'https://collaborate.princeton.edu/en/persons/daniel-ian-rubenstein']]",https://collaborate.princeton.edu//files-asset/48146829/Martonosi.jpg,https://collaborate.princeton.edu/en/persons/margaret-rose-martonosi,[]
William Alfred Massey,wmassey,MAT,"[['Queue', '100%'], ['Call Centres', '86%'], ['Jackson Networks', '85%'], ['Customers', '79%'], ['Servers', '77%'], ['Approximation', '71%'], ['Time-varying', '57%'], ['Bessel functions', '57%']]","[['The Conference for African American Researchers in the Mathematical Sciences (CAARMS)', 'https://collaborate.princeton.edu/en/projects/the-conference-for-african-american-researchers-in-the-mathematic'], ['22nd Conference for African American Researchers in the Mathematical Sciences (CAARMS22)', 'https://collaborate.princeton.edu/en/projects/22nd-conference-for-african-american-researchers-in-the-mathemati'], ['21st Conference for African American Researchers in the Mathematical Sciences (CAARMS21)', 'https://collaborate.princeton.edu/en/projects/21st-conference-for-african-american-researchers-in-the-mathemati'], ['Collaborative Research: Risk Management and Control of Dynamic Rate Queues for Healthcare and Transportation Services', 'https://collaborate.princeton.edu/en/projects/collaborative-research-risk-management-and-control-of-dynamic-rat'], ['Twentieth Conference for African American Researchers in the Mathematical Sciences (CAARMS20)', 'https://collaborate.princeton.edu/en/projects/twentieth-conference-for-african-american-researchers-in-the-math']]","[['Dynamic rate Erlang-A queues', 'https://collaborate.princeton.edu/en/publications/dynamic-rate-erlang-a-queues'], ['Approximating and stabilizing dynamic rate jackson networks with abandonment', 'https://collaborate.princeton.edu/en/publications/approximating-and-stabilizing-dynamic-rate-jackson-networks-with-'], ['Gaussian skewness approximation for dynamic rate multi-server queues with abandonment', 'https://collaborate.princeton.edu/en/publications/gaussian-skewness-approximation-for-dynamic-rate-multi-server-que'], ['A time-varying call center design via lagrangian mechanics', 'https://collaborate.princeton.edu/en/publications/a-time-varying-call-center-design-via-lagrangian-mechanics'], ['Dynamic pricing to control loss systems with quality of service targets', 'https://collaborate.princeton.edu/en/publications/dynamic-pricing-to-control-loss-systems-with-quality-of-service-t']]",1412,18,"[['Anirudha Majumdar', 'https://collaborate.princeton.edu/en/persons/anirudha-majumdar'], ['Chenyang Xu', 'https://collaborate.princeton.edu/en/persons/chenyang-xu'], ['Charles Louis Fefferman', 'https://collaborate.princeton.edu/en/persons/charles-louis-fefferman'], ['Ryan P. Adams', 'https://collaborate.princeton.edu/en/persons/ryan-p-adams'], ['Paul Seymour', 'https://collaborate.princeton.edu/en/persons/paul-douglas-seymour'], ['John Vincent Pardon', 'https://collaborate.princeton.edu/en/persons/john-vincent-pardon']]",https://collaborate.princeton.edu//files-asset/48146841/picture_38_1308601147.jpg,https://collaborate.princeton.edu/en/persons/william-alfred-massey,['ORF 409']
Adrien Matray,amatray,ECO,"[['Relationship Lending', '100%'], ['Lending Relationships', '98%'], ['Managers', '98%'], ['Import Competition', '94%'], ['Financial Wealth', '93%'], ['Wealth Accumulation', '91%'], ['Hurricanes', '90%'], ['Bank Branches', '84%']]","[['Collaborative Research: Foreign Capital Liberalization, Structural Change, and Economic Empowerment of Vulnerable Groups', 'https://collaborate.princeton.edu/en/projects/collaborative-research-foreign-capital-liberalization-structural-']]","[['Bank-Branch Supply, Financial Inclusion, and Wealth Accumulation', 'https://collaborate.princeton.edu/en/publications/bank-branch-supply-financial-inclusion-and-wealth-accumulation'], ['Noisy stock prices and corporate investment', 'https://collaborate.princeton.edu/en/publications/noisy-stock-prices-and-corporate-investment'], ['Can Innovation Help U.S. Manufacturing Firms Escape Import Competition from China?', 'https://collaborate.princeton.edu/en/publications/can-innovation-help-us-manufacturing-firms-escape-import-competit'], ['Do managers overreact to salient risks? Evidence from hurricane strikes', 'https://collaborate.princeton.edu/en/publications/do-managers-overreact-to-salient-risks-evidence-from-hurricane-st'], ['The real effects of lending relationships on innovative firms and inventor mobility', 'https://collaborate.princeton.edu/en/publications/the-real-effects-of-lending-relationships-on-innovative-firms-and']]",112,5,"[['Atif Rehman Mian', 'https://collaborate.princeton.edu/en/persons/atif-rehman-mian'], ['Motohiro Yogo', 'https://collaborate.princeton.edu/en/persons/motohiro-yogo'], ['Mark A. Aguiar', 'https://collaborate.princeton.edu/en/persons/mark-a-aguiar'], ['Giovanni L. Violante', 'https://collaborate.princeton.edu/en/persons/giovanni-l-violante'], ['Pablo D. Fajgelbaum', 'https://collaborate.princeton.edu/en/persons/pablo-d-fajgelbaum'], ['Matt Weinberg', 'https://collaborate.princeton.edu/en/persons/matt-weinberg']]",https://collaborate.princeton.edu//files-asset/48146853/Matray.png?w=160&amp;f=jpg,https://collaborate.princeton.edu/en/persons/adrien-matray,[]
Denise Leonore Mauzerall,mauzeral,CEE,"[['ozone', '100%'], ['air quality', '89%'], ['Air Pollution', '87%'], ['tropospheric ozone', '74%'], ['radiative forcing', '65%'], ['China', '65%'], ['methane', '57%'], ['Climate', '55%']]","[['Constraining Methane Leakage from Abandoned Oil and Gas Wells', 'https://collaborate.princeton.edu/en/projects/constraining-methane-leakage-from-abandoned-oil-and-gas-wells']]","[['Acting rapidly to deploy readily available methane mitigation measures by sector can immediately slow global warming', 'https://collaborate.princeton.edu/en/publications/acting-rapidly-to-deploy-readily-available-methane-mitigation-mea'], ['Deployment of fuel cell vehicles in China: Greenhouse gas emission reductions from converting the heavy-duty truck fleet from diesel and natural gas to hydrogen', 'https://collaborate.princeton.edu/en/publications/deployment-of-fuel-cell-vehicles-in-china-greenhouse-gas-emission'], ['Air quality, nitrogen use efficiency and food security in China are improved by cost-effective agricultural nitrogen management', 'https://collaborate.princeton.edu/en/publications/air-quality-nitrogen-use-efficiency-and-food-security-in-china-ar'], [""China's global power: Estimating Chinese foreign direct investment in the electric power sector"", 'https://collaborate.princeton.edu/en/publications/chinas-global-power-estimating-chinese-foreign-direct-investment-'], ['Chinese Overseas Development Financing of Electric Power Generation: A Comparative Analysis', 'https://collaborate.princeton.edu/en/publications/chinese-overseas-development-financing-of-electric-power-generati']]",6651,42,"[['Michael Anthony Celia', 'https://collaborate.princeton.edu/en/persons/michael-anthony-celia'], ['Michael Oppenheimer', 'https://collaborate.princeton.edu/en/persons/michael-oppenheimer'], ['Mark Andrew Zondlo', 'https://collaborate.princeton.edu/en/persons/mark-andrew-zondlo'], ['Venkatachalam Ramaswamy', 'https://collaborate.princeton.edu/en/persons/venkatachalam-ramaswamy'], ['Stephen Wilson Pacala', 'https://collaborate.princeton.edu/en/persons/stephen-wilson-pacala'], ['Peter R. Jaffe', 'https://collaborate.princeton.edu/en/persons/peter-r-jaffe']]",https://collaborate.princeton.edu//files-asset/64156141/Mauzerall.png?w=160&amp;f=jpg,https://collaborate.princeton.edu/en/persons/denise-leonore-mauzerall,[]
